item_type,name,category,status,reason,access_mode,requires_env,local_hints
module,AlphaLISA/TR-FRET assay planner,assay_planning,registered_but_not_executable,Tool is registered.,metadata,,
module,MMPBSA.py,binding_energy,binary_missing,Required binaries were not detected.,cli,,MMPBSA.py
module,Rosetta InterfaceAnalyzer,binding_energy,binary_missing,Required binaries were not detected.,cli,,InterfaceAnalyzer
module,gmx_MMPBSA,binding_energy,binary_missing,Required binaries were not detected.,cli,,gmx_MMPBSA
module,CREST,conformer_generation,binary_missing,Required binaries were not detected.,cli,,crest
module,OpenEye OMEGA,conformer_generation,commercial_not_available,Commercial tool registered but no local install/license/API detected.,cli,,omega2
module,CReM,de_novo_generation,python_package_missing,Required Python packages are missing.,python_package,,crem
module,GuacaMol,de_novo_generation,python_package_missing,Required Python packages are missing.,python_package,,guacamol
module,MOSES,de_novo_generation,python_package_missing,Required Python packages are missing.,python_package,,moses
module,MolDQN,de_novo_generation,python_package_missing,Required Python packages are missing.,python_package,,tensorflow
module,REINVENT,de_novo_generation,python_package_missing,Required Python packages are missing.,python_package,,reinvent
module,mmpdb,fragmentation,binary_missing,Required binaries were not detected.,cli,,mmpdb
module,CellProfiler,image_analysis,binary_missing,Required binaries were not detected.,cli_or_python,,cellprofiler;cellprofiler
module,AutoDock-GPU,ligand_docking,binary_missing,Required binaries were not detected.,cli,,autodock_gpu
module,DOCK6,ligand_docking,binary_missing,Required binaries were not detected.,cli,,dock6
module,GNINA,ligand_docking,binary_missing,Required binaries were not detected.,cli,,gnina
module,GOLD,ligand_docking,commercial_not_available,Commercial tool registered but no local install/license/API detected.,cli,,gold_auto
module,Glide,ligand_docking,commercial_not_available,Commercial tool registered but no local install/license/API detected.,cli,,glide
module,ICM-Pro,ligand_docking,commercial_not_available,Commercial tool registered but no local install/license/API detected.,cli,,icm
module,LeDock,ligand_docking,binary_missing,Required binaries were not detected.,cli,,ledock
module,MOE Dock,ligand_docking,commercial_not_available,Commercial tool registered but no local install/license/API detected.,cli,,moebatch
module,PLANTS,ligand_docking,binary_missing,Required binaries were not detected.,cli,,plants
module,RosettaLigand,ligand_docking,binary_missing,Required binaries were not detected.,cli,,rosetta_scripts
module,Smina,ligand_docking,binary_missing,Required binaries were not detected.,cli,,smina
module,rDock,ligand_docking,binary_missing,Required binaries were not detected.,cli,,rbdock;rDock
module,Epik,ligand_preparation,commercial_not_available,Commercial tool registered but no local install/license/API detected.,cli,,epik
module,MGLTools,ligand_preparation,binary_missing,Required binaries were not detected.,cli,,prepare_ligand4.py;prepare_receptor4.py
module,Meeko,ligand_preparation,python_package_missing,Required Python packages are missing.,python_package,,meeko
module,OpenBabel,ligand_preparation,python_package_missing,Required Python packages are missing.,cli_or_python,,openbabel
module,Schrodinger LigPrep,ligand_preparation,commercial_not_available,Commercial tool registered but no local install/license/API detected.,cli,,ligprep
module,DeLinker,linker_generation,python_package_missing,Required Python packages are missing.,python_package,,delinker
module,LinkInvent,linker_generation,python_package_missing,Required Python packages are missing.,python_package,,reinvent
module,ChemDataExtractor,literature_mining,python_package_missing,Required Python packages are missing.,python_package,,chemdataextractor
module,NameRxn,literature_mining,commercial_not_available,Commercial tool registered but no local install/license/API detected.,cli,,namerxn
module,OPSIN,literature_mining,web_only,Web-service tool registered; no local executable detected.,web_or_jar,,opsin
module,PubTator,literature_mining,web_only,Web-service tool registered; no local executable detected.,web,,
module,SciSpacy,literature_mining,python_package_missing,Required Python packages are missing.,python_package,,scispacy
module,AMBER / AmberTools,molecular_dynamics,binary_missing,Required binaries were not detected.,cli,,pmemd;sander;ante-MMPBSA
module,CHARMM,molecular_dynamics,commercial_not_available,Commercial tool registered but no local install/license/API detected.,cli,,charmm
module,Desmond,molecular_dynamics,commercial_not_available,Commercial tool registered but no local install/license/API detected.,cli,,desmond
module,GROMACS,molecular_dynamics,binary_missing,Required binaries were not detected.,cli,,gmx
module,NAMD,molecular_dynamics,binary_missing,Required binaries were not detected.,cli,,namd2;namd3
module,OpenMM,molecular_dynamics,python_package_missing,Required Python packages are missing.,python_package,,openmm
module,PLUMED,molecular_dynamics,binary_missing,Required binaries were not detected.,cli,,plumed
module,Chemprop,molecular_ml,python_package_missing,Required Python packages are missing.,python_package,,chemprop
module,DeepChem,molecular_ml,python_package_missing,Required Python packages are missing.,python_package,,deepchem
module,Mol*,molecular_visualization,web_only,Web-service tool registered; no local executable detected.,web,,
module,NGLView,molecular_visualization,python_package_missing,Required Python packages are missing.,python_package,,nglview
module,PyMOL,molecular_visualization,binary_missing,Required binaries were not detected.,cli,,pymol
module,UCSF Chimera,molecular_visualization,binary_missing,Required binaries were not detected.,cli,,chimera
module,UCSF ChimeraX,molecular_visualization,binary_missing,Required binaries were not detected.,cli,,chimerax
module,VMD,molecular_visualization,binary_missing,Required binaries were not detected.,cli,,vmd
module,Google Patents,patent_mining,web_only,Web-service tool registered; no local executable detected.,web,,
module,Lens.org,patent_mining,web_only,Web-service tool registered; no local executable detected.,web,,
module,SureChEMBL,patent_mining,web_only,Web-service tool registered; no local executable detected.,web,,
module,ESM-2,protein_language_models,python_package_missing,Required Python packages are missing.,python_package,,esm
module,ClusPro,protein_protein_docking,web_only,Web-service tool registered; no local executable detected.,web,,
module,FireDock,protein_protein_docking,binary_missing,Required binaries were not detected.,cli,,firedock
module,HADDOCK,protein_protein_docking,web_only,Web-service tool registered; no local executable detected.,web,,
module,HADDOCK3,protein_protein_docking,binary_missing,Required binaries were not detected.,cli,,haddock3
module,LightDock,protein_protein_docking,binary_missing,Required binaries were not detected.,cli,,lightdock3.py;lightdock
module,MEGADOCK,protein_protein_docking,binary_missing,Required binaries were not detected.,cli,,megadock
module,PatchDock,protein_protein_docking,web_only,Web-service tool registered; no local executable detected.,cli,,patch_dock
module,PyRosetta,protein_protein_docking,python_package_missing,Required Python packages are missing.,python_package,,pyrosetta
module,RosettaDock,protein_protein_docking,binary_missing,Required binaries were not detected.,cli,,docking_protocol
module,ZDOCK,protein_protein_docking,binary_missing,Required binaries were not detected.,cli,,zdock
module,FragPipe,proteomics,binary_missing,Required binaries were not detected.,cli,,fragpipe
module,Perseus,proteomics,binary_missing,Required binaries were not detected.,cli,,Perseus
module,Proteome Discoverer / MaxQuant,proteomics,commercial_not_available,Commercial tool registered but no local install/license/API detected.,cli,,ProteomeDiscoverer;maxquant
module,Gaussian,quantum_chemistry,commercial_not_available,Commercial tool registered but no local install/license/API detected.,cli,,g16;g09
module,MOPAC,quantum_chemistry,binary_missing,Required binaries were not detected.,cli,,mopac
module,ORCA,quantum_chemistry,binary_missing,Required binaries were not detected.,cli,,orca
module,xTB,quantum_chemistry,binary_missing,Required binaries were not detected.,cli,,xtb
module,IBM RXN,reaction_prediction,web_only,Web-service tool registered; no local executable detected.,api,,
module,RDChiral,reaction_prediction,python_package_missing,Required Python packages are missing.,python_package,,rdchiral
module,RXNMapper,reaction_prediction,python_package_missing,Required Python packages are missing.,python_package,,rxnmapper
module,ASKCOS,retrosynthesis,web_only,Web-service tool registered; no local executable detected.,web,,
module,ASKCOS Tree Builder,retrosynthesis,web_only,Web-service tool registered; no local executable detected.,web,,
module,AiZynthFinder,retrosynthesis,python_package_missing,Required Python packages are missing.,python_package,,aizynthfinder
module,PDB2PQR,structure_preparation,binary_missing,Required binaries were not detected.,cli,,pdb2pqr
module,PDBFixer,structure_preparation,python_package_missing,Required Python packages are missing.,python_package,,pdbfixer
module,PropKa,structure_preparation,binary_missing,Required binaries were not detected.,cli,,propka3
module,RAscore,synthetic_accessibility,python_package_missing,Required Python packages are missing.,python_package,,rascore
module,SCScore,synthetic_accessibility,python_package_missing,Required Python packages are missing.,python_package,,scscore
module,AlphaFold-Multimer,ternary_complex_modeling,binary_missing,Required binaries were not detected.,cli,,alphafold;jax
module,ColabFold,ternary_complex_modeling,binary_missing,Required binaries were not detected.,cli,,colabfold_batch
module,PRosettaC,ternary_complex_modeling,python_package_missing,Required Python packages are missing.,cli,,rosetta
module,Galaxy,workflow_platforms,web_only,Web-service tool registered; no local executable detected.,cli,,galaxy;run.sh
module,KNIME,workflow_platforms,binary_missing,Required binaries were not detected.,cli,,knime
module,Pipeline Pilot,workflow_platforms,commercial_not_available,Commercial tool registered but no local install/license/API detected.,cli,,pipelinepilot
