repo_name,github_url,local_path,clone_status,dependency_files_detected,env_strategy,safe_env_name,command_file_section,manual_review_required,install_priority,notes
PROTACability,https://github.com/GilbertoPPereira/PROTACability,data/protac_repos/repos/PROTACability,cloned,README.md,manual inspection required,protac-protacability,phase2-protacability,True,Manual,no standard dependency files detected
PROTAC-Degradation-Predictor,https://github.com/ribesstefano/PROTAC-Degradation-Predictor,data/protac_repos/repos/PROTAC-Degradation-Predictor,cloned,"environment.yml, requirements.txt, setup.py, README.md, LICENSE",conda/mamba; venv/pip; editable-venv,protac-degradation-predictor,phase2-degradation-predictor,False,High,"README install hints: - [Installation](#-installation) | ## 🚀 Installation | The package has been developed and tested on a Linux machine with Python 3.12.4. It is recommended to use a virtual environment to avoid conflicts with other packages. | To install the package, open your terminal and please run the following commands: | pip install --upgrade pip | pip install -e .; dataset/notebook or benchmark-style repository likely"
TERNIFY,https://github.com/WIMNZhao/TERNIFY,data/protac_repos/repos/TERNIFY,cloned,"requirements.txt, README.md, LICENSE",venv/pip,protac-ternify,phase2-ternify,False,Medium,README install hints: ### Setting up the environment | Create a new conda environment and install rdkit: | `conda create -c conda-forge -n <your-env-name> rdkit` | Activate your environment and install the rest of the requirements: | `conda activate <your-env-name>` | `pip install -r requirements.txt`; clear static dependency markers detected
AIMLinker,https://github.com/AnHorn/AIMLinker,data/protac_repos/repos/AIMLinker,cloned,README.md,manual inspection required,protac-aimlinker,phase2-aimlinker,True,Manual,no standard dependency files detected
Machine-Learning-for-Predicting-Targeted-Protein-Degradation,https://github.com/AstraZeneca/Machine-Learning-for-Predicting-Targeted-Protein-Degradation,data/protac_repos/repos/Machine-Learning-for-Predicting-Targeted-Protein-Degradation,cloned,"environment.yml, README.md",conda/mamba,protac-machine-learning-for-predicting-targeted-protein-degradation,phase2-machine-learning-for-predicting-targeted-protein-degradation,False,High,README install hints: 1. Install the required dependencies by running `conda env create -f environment.yml` in your terminal.; dataset/notebook or benchmark-style repository likely
MEGA-PROTAC,https://github.com/yauz3/MEGA-PROTAC,data/protac_repos/repos/MEGA-PROTAC,cloned,"environment.yml, requirements.txt, README.md",conda/mamba; venv/pip,protac-mega-protac,phase2-mega-protac,True,Manual,"README install hints: <h1> MEGA PROTAC: PROTAC-Mediated Ternary Complex Formation Pipeline based on MEGADOCK with Sequential Filtering integrated with Rank Aggregation. </h1> | **Pre-installation:** | *1*- MEGA DOCK Installation: | Before proceeding with the installation, ensure that MEGA DOCK is installed on your system. It is highly recommended to follow the original documentation provided by the developers for detailed instructions: | Please refer to their documentation to install MEGA DOCK correctly before continuing with this project. | HINT: megadock and megadock-gpu should be in the folder. Otherwise, the MEGA PROTAC won't work because of failure installation for MEGADOCK.; heavy docking/GPU/training/ternary-complex keywords detected"
SynGlue,https://github.com/the-ahuja-lab/SynGlue,data/protac_repos/repos/SynGlue,cloned,"README.md, LICENSE.txt",manual inspection required,protac-synglue,phase2-synglue,True,Medium,"README install hints: <img src=""https://img.shields.io/conda/vn/conda-forge/YOUR_PACKAGE""> | # Installation | ### 📦 Install API Client | pip install synglue requests | * Integration into automated drug discovery pipelines | pip install requests; no standard dependency files detected; dataset/notebook or benchmark-style repository likely"
PROTAC-Model_benchmark,https://github.com/gaoqiweng/PROTAC-Model_benchmark,data/protac_repos/repos/PROTAC-Model_benchmark,cloned,README.md,manual inspection required,protac-model-benchmark,phase2-model-benchmark,True,Low,no standard dependency files detected; dataset/notebook or benchmark-style repository likely
SE3-protacs,https://github.com/drugparadigm/SE3-protacs,data/protac_repos/repos/SE3-protacs,cloned,"environment.yml, README.md",conda/mamba,protac-se3-protacs,phase2-se3-protacs,True,Manual,README install hints: ## ⚙️ Installation | conda env create -f environment.yml | conda activate se3protacs; heavy docking/GPU/training/ternary-complex keywords detected
science-paper-protac-conformer-generator-2025,https://github.com/ccdc-opensource/science-paper-protac-conformer-generator-2025,data/protac_repos/repos/science-paper-protac-conformer-generator-2025,cloned,README.md,manual inspection required,protac-science-paper-protac-conformer-generator-2025,phase2-science-paper-protac-conformer-generator-2025,True,Manual,README install hints: ## Dependencies & Requirements | ## Installation | Ensure a working CSD Python API environment. No separate package installation is required beyond dependencies already provided with the API.; heavy docking/GPU/training/ternary-complex keywords detected; no standard dependency files detected
Bellerophon,https://github.com/giulia-apprato/Bellerophon,data/protac_repos/repos/Bellerophon,cloned,"requirements.txt, README.md, LICENSE",venv/pip,protac-bellerophon,phase2-bellerophon,False,Medium,README install hints: # Install dependencies | pip install -r requirements.txt; clear static dependency markers detected
PROTAC-shotgun,https://github.com/zhao-fuqiang/PROTAC-shotgun,data/protac_repos/repos/PROTAC-shotgun,cloned,"README.md, LICENSE",manual inspection required,protac-shotgun,phase2-shotgun,True,Manual,"README install hints: The code of DSDP is modified to use the input coordinates as the initial guess for conformation sampling. You can find the instructions for installment of DSDP from https://github.com/PKUGaoGroup/DSDP. | The code of ColabDock is also modified to use the input coordinates as the initial guess for conformation sampling. The output from each iteration is saved, and the second stage (prediction stage) of ColabDock is not run. You can find the instructions for installment of ColabDock from https://github.com/JeffSHF/ColabDock.; heavy docking/GPU/training/ternary-complex keywords detected; no standard dependency files detected; dataset/notebook or benchmark-style repository likely"
PROTAC_descriptors,https://github.com/cancer-nanomedicine-lab/PROTAC_descriptors,data/protac_repos/repos/PROTAC_descriptors,cloned,,manual inspection required,protac-descriptors,phase2-descriptors,True,Manual,README.md not detected; no standard dependency files detected; dataset/notebook or benchmark-style repository likely
computational-PROTAC-development,https://github.com/leezx/computational-PROTAC-development,data/protac_repos/repos/computational-PROTAC-development,cloned,"README.md, LICENSE",manual inspection required,protac-computational-protac-development,phase2-computational-protac-development,True,Manual,no standard dependency files detected
PROTAC,https://github.com/yugyeong0609/PROTAC,data/protac_repos/repos/PROTAC,cloned,README.md,manual inspection required,protac-protac,phase2-protac,True,Manual,no standard dependency files detected
ProtacDatabase,https://github.com/wxfsd/ProtacDatabase,data/protac_repos/repos/ProtacDatabase,cloned,"README.md, LICENSE",manual inspection required,protac-protacdatabase,phase2-protacdatabase,True,Low,no standard dependency files detected; dataset/notebook or benchmark-style repository likely
protacSpace,https://github.com/Fraunhofer-ITMP/protacSpace,data/protac_repos/repos/protacSpace,cloned,"requirements.txt, README.md, LICENSE",venv/pip,protac-protacspace,phase2-protacspace,False,High,dataset/notebook or benchmark-style repository likely
degradomap,https://github.com/crisprking/degradomap,data/protac_repos/repos/degradomap,cloned,"pyproject.toml, README.md, LICENSE",editable-venv,protac-degradomap,phase2-degradomap,True,Manual,README install hints: - Full pipeline (UniProt → AlphaFold → DepMap → feature matrix → LOO classifier) | ## Install | pip install -e . | ## Run the pipeline; heavy docking/GPU/training/ternary-complex keywords detected; dataset/notebook or benchmark-style repository likely
ProtacGPT,https://github.com/sylershao/ProtacGPT,data/protac_repos/repos/ProtacGPT,cloned,"environment.yml, README.md",conda/mamba,protac-protacgpt,phase2-protacgpt,False,High,clear static dependency markers detected
