repo_name,github_url,local_path,clone_status,install_method_detected,has_license,has_readme,likely_language,notes,recommended_next_step,detected_dependency_files,copied_env_specs,repo_category,log_file
PROTACability,https://github.com/GilbertoPPereira/PROTACability,data/protac_repos/repos/PROTACability,cloned,Manual inspection required,False,True,Python,Repository cloned successfully.; No standard dependency files detected; Category: manual review,Manual inspection required,,,manual review,data/protac_repos/logs/PROTACability.log
PROTAC-Degradation-Predictor,https://github.com/ribesstefano/PROTAC-Degradation-Predictor,data/protac_repos/repos/PROTAC-Degradation-Predictor,cloned,Create separate conda/mamba environment,True,True,Python,"Repository cloned successfully.; Detected files: requirements.txt, environment.yml, setup.py; README install hints: - [Installation](#-installation) | ## 🚀 Installation | To install the package, open your terminal and please run the following commands: | pip install --upgrade pip | pip install -e . | After installing the package, you can use it as follows: | 3. Create a virtual environment and install the required packages by running the following commands: | pip install --upgrade pip; Copied env specs: 3; Category: model",Create separate conda/mamba environment,"requirements.txt, environment.yml, setup.py","data/protac_repos/env_specs/PROTAC-Degradation-Predictor__requirements.txt, data/protac_repos/env_specs/PROTAC-Degradation-Predictor__environment.yml, data/protac_repos/env_specs/PROTAC-Degradation-Predictor__setup.py",model,data/protac_repos/logs/PROTAC-Degradation-Predictor.log
TERNIFY,https://github.com/WIMNZhao/TERNIFY,data/protac_repos/repos/TERNIFY,cloned,Create separate Python venv and install requirements there,True,True,Python,Repository cloned successfully.; Detected files: requirements.txt; README install hints: Create a new conda environment and install rdkit: | `conda create -c conda-forge -n <your-env-name> rdkit` | Activate your environment and install the rest of the requirements: | `conda activate <your-env-name>` | `pip install -r requirements.txt`; Copied env specs: 1; Category: manual review,Create separate Python venv and install requirements there,requirements.txt,data/protac_repos/env_specs/TERNIFY__requirements.txt,manual review,data/protac_repos/logs/TERNIFY.log
AIMLinker,https://github.com/AnHorn/AIMLinker,data/protac_repos/repos/AIMLinker,cloned,Manual inspection required,False,True,Python,Repository cloned successfully.; No standard dependency files detected; Category: molecular processing utility,Manual inspection required,,,molecular processing utility,data/protac_repos/logs/AIMLinker.log
Machine-Learning-for-Predicting-Targeted-Protein-Degradation,https://github.com/AstraZeneca/Machine-Learning-for-Predicting-Targeted-Protein-Degradation,data/protac_repos/repos/Machine-Learning-for-Predicting-Targeted-Protein-Degradation,cloned,Create separate conda/mamba environment,True,True,Python,Repository cloned successfully.; Detected files: environment.yml; README install hints: 1. Install the required dependencies by running `conda env create -f environment.yml` in your terminal.; Copied env specs: 1; Category: model,Create separate conda/mamba environment,environment.yml,data/protac_repos/env_specs/Machine-Learning-for-Predicting-Targeted-Protein-Degradation__environment.yml,model,data/protac_repos/logs/Machine-Learning-for-Predicting-Targeted-Protein-Degradation.log
MEGA-PROTAC,https://github.com/yauz3/MEGA-PROTAC,data/protac_repos/repos/MEGA-PROTAC,cloned,Create separate conda/mamba environment,False,True,Python,"Repository cloned successfully.; Detected files: requirements.txt, environment.yml; README install hints: **Pre-installation:** | *1*- MEGA DOCK Installation: | Before proceeding with the installation, ensure that MEGA DOCK is installed on your system. It is highly recommended to follow the original documentation provided by the developers for detailed instructions: | Please refer to their documentation to install MEGA DOCK correctly before continuing with this project. | HINT: megadock and megadock-gpu should be in the folder. Otherwise, the MEGA PROTAC won't work because of failure installation fo; Copied env specs: 2; Category: ternary-complex/docking",Create separate conda/mamba environment,"requirements.txt, environment.yml","data/protac_repos/env_specs/MEGA-PROTAC__requirements.txt, data/protac_repos/env_specs/MEGA-PROTAC__environment.yml",ternary-complex/docking,data/protac_repos/logs/MEGA-PROTAC.log
SynGlue,https://github.com/the-ahuja-lab/SynGlue,data/protac_repos/repos/SynGlue,cloned,Manual inspection required,True,True,Python,"Repository cloned successfully.; No standard dependency files detected; README install hints: <img src=""https://img.shields.io/conda/vn/conda-forge/YOUR_PACKAGE""> | # Installation | ### 📦 Install API Client | pip install synglue requests | pip install requests; Category: manual review",Manual inspection required,,,manual review,data/protac_repos/logs/SynGlue.log
PROTAC-Model_benchmark,https://github.com/gaoqiweng/PROTAC-Model_benchmark,data/protac_repos/repos/PROTAC-Model_benchmark,cloned,Manual inspection required,False,True,unknown/manual,Repository cloned successfully.; No standard dependency files detected; Category: dataset/benchmark; model,Manual inspection required,,,dataset/benchmark; model,data/protac_repos/logs/PROTAC-Model_benchmark.log
SE3-protacs,https://github.com/drugparadigm/SE3-protacs,data/protac_repos/repos/SE3-protacs,cloned,Create separate conda/mamba environment,False,True,Python,Repository cloned successfully.; Detected files: environment.yml; README install hints: ## ⚙️ Installation | conda env create -f environment.yml | conda activate se3protacs; Copied env specs: 1; Category: ternary-complex/docking,Create separate conda/mamba environment,environment.yml,data/protac_repos/env_specs/SE3-protacs__environment.yml,ternary-complex/docking,data/protac_repos/logs/SE3-protacs.log
science-paper-protac-conformer-generator-2025,https://github.com/ccdc-opensource/science-paper-protac-conformer-generator-2025,data/protac_repos/repos/science-paper-protac-conformer-generator-2025,cloned,Manual inspection required,True,True,Python,Repository cloned successfully.; No standard dependency files detected; README install hints: ## Dependencies & Requirements | ## Installation | Ensure a working CSD Python API environment. No separate package installation is required beyond dependencies already provided with the API.; Category: molecular processing utility,Manual inspection required,,,molecular processing utility,data/protac_repos/logs/science-paper-protac-conformer-generator-2025.log
Bellerophon,https://github.com/giulia-apprato/Bellerophon,data/protac_repos/repos/Bellerophon,cloned,Create separate Python venv and install requirements there,True,True,Python,Repository cloned successfully.; Detected files: requirements.txt; README install hints: # Install dependencies | pip install -r requirements.txt; Copied env specs: 1; Category: manual review,Create separate Python venv and install requirements there,requirements.txt,data/protac_repos/env_specs/Bellerophon__requirements.txt,manual review,data/protac_repos/logs/Bellerophon.log
PROTAC-shotgun,https://github.com/zhao-fuqiang/PROTAC-shotgun,data/protac_repos/repos/PROTAC-shotgun,cloned,Manual inspection required,True,True,Python,"Repository cloned successfully.; No standard dependency files detected; README install hints: The code of DSDP is modified to use the input coordinates as the initial guess for conformation sampling. You can find the instructions for installment of DSDP from https://github.com/PKUGaoGroup/DSDP. | The code of ColabDock is also modified to use the input coordinates as the initial guess for conformation sampling. The output from each iteration is saved, and the second stage (prediction stage) of ColabDock is not run. You can find the instructions for installment of ColabDock from https://gi; Category: model; ternary-complex/docking",Manual inspection required,,,model; ternary-complex/docking,data/protac_repos/logs/PROTAC-shotgun.log
PROTAC_descriptors,https://github.com/cancer-nanomedicine-lab/PROTAC_descriptors,data/protac_repos/repos/PROTAC_descriptors,cloned,Manual inspection required,False,False,Python,Repository cloned successfully.; No standard dependency files detected; Category: dataset/benchmark; molecular processing utility,Manual inspection required,,,dataset/benchmark; molecular processing utility,data/protac_repos/logs/PROTAC_descriptors.log
computational-PROTAC-development,https://github.com/leezx/computational-PROTAC-development,data/protac_repos/repos/computational-PROTAC-development,cloned,Manual inspection required,True,True,unknown/manual,Repository cloned successfully.; No standard dependency files detected; Category: manual review,Manual inspection required,,,manual review,data/protac_repos/logs/computational-PROTAC-development.log
PROTAC,https://github.com/yugyeong0609/PROTAC,data/protac_repos/repos/PROTAC,cloned,Manual inspection required,False,True,unknown/manual,Repository cloned successfully.; No standard dependency files detected; Category: manual review,Manual inspection required,,,manual review,data/protac_repos/logs/PROTAC.log
ProtacDatabase,https://github.com/wxfsd/ProtacDatabase,data/protac_repos/repos/ProtacDatabase,cloned,Manual inspection required,True,True,unknown/manual,Repository cloned successfully.; No standard dependency files detected; Category: dataset/benchmark,Manual inspection required,,,dataset/benchmark,data/protac_repos/logs/ProtacDatabase.log
protacSpace,https://github.com/Fraunhofer-ITMP/protacSpace,data/protac_repos/repos/protacSpace,cloned,Create separate Python venv and install requirements there,True,True,Python,Repository cloned successfully.; Detected files: requirements.txt; Copied env specs: 1; Category: molecular processing utility,Create separate Python venv and install requirements there,requirements.txt,data/protac_repos/env_specs/protacSpace__requirements.txt,molecular processing utility,data/protac_repos/logs/protacSpace.log
degradomap,https://github.com/crisprking/degradomap,data/protac_repos/repos/degradomap,cloned,Editable install in an isolated environment after review,True,True,Python,Repository cloned successfully.; Detected files: pyproject.toml; README install hints: ## Install | pip install -e .; Copied env specs: 1; Category: manual review,Editable install in an isolated environment after review,pyproject.toml,data/protac_repos/env_specs/degradomap__pyproject.toml,manual review,data/protac_repos/logs/degradomap.log
ProtacGPT,https://github.com/sylershao/ProtacGPT,data/protac_repos/repos/ProtacGPT,cloned,Create separate conda/mamba environment,False,True,Python,Repository cloned successfully.; Detected files: environment.yml; Copied env specs: 1; Category: model,Create separate conda/mamba environment,environment.yml,data/protac_repos/env_specs/ProtacGPT__environment.yml,model,data/protac_repos/logs/ProtacGPT.log
